iter	RMSE
0	0.9804963668
1	0.9695824786
2	0.9594766828
3	0.9497240811
4	0.9399688636
5	0.9307273577
6	0.9213943092
7	0.9124851139
8	0.9037420242
9	0.8954534041
10	0.8872420263
11	0.8800688346
12	0.8721776069
13	0.8659111312
14	0.8588123278
15	0.8517893336
16	0.8453944969
17	0.8390133689
18	0.8337157659
19	0.8272446596
20	0.8213652737
21	0.8161143272
22	0.811052187
23	0.8067027771
24	0.8010310021
25	0.7964197216
26	0.7922220891
27	0.7874750569
28	0.783696289
29	0.7793089175
30	0.7752524095
31	0.7715023364
32	0.7674990785
33	0.7642244344
34	0.7604813638
35	0.7570102424
36	0.7534830026
37	0.7501169009
38	0.7471387456
39	0.7441341115
40	0.741229021
41	0.7381348074
42	0.7357413409
43	0.7330496421
44	0.7309916767
45	0.7287564593
46	0.7261042831
47	0.7235206532
48	0.7207229464
49	0.7187024842
50	0.7160937577
51	0.7140052215
52	0.7121444191
53	0.7100052325
54	0.7078153635
55	0.7060586036
56	0.7040446713
57	0.7023740072
58	0.700486026
59	0.6984946587
60	0.6967513112
61	0.6956495964
62	0.6943852054
63	0.6932854592
64	0.6923057504
65	0.6908858728
66	0.6894733652
67	0.6882696114
68	0.686851268
69	0.6854398859
70	0.6841638101
71	0.6826390584
72	0.6819247431
73	0.6803798536
74	0.6792842317
75	0.6775385959
76	0.6760699803
77	0.674968494
78	0.6738080118
79	0.6730645493
80	0.6717987887
81	0.6706600729
82	0.6695588824
83	0.6684991241
84	0.6673790139
85	0.6664386717
86	0.6653748817
87	0.664232439
88	0.6634961675
89	0.6630612099
90	0.6623324588
91	0.661664626
92	0.6611050945
93	0.6601676231
94	0.6594493341
95	0.6588526807
96	0.6581819483
97	0.657324678
98	0.6567111154
99	0.6561739627
100	0.6549679403
101	0.6543525917
102	0.6539630302
103	0.6534929668
104	0.6524759103
105	0.6517262632
106	0.6509780334
107	0.6502556025
108	0.6497875678
109	0.6491544885
110	0.6485754002
111	0.6479128738
112	0.6471511059
113	0.6463392546
114	0.6457618981
115	0.6448517628
116	0.644071466
117	0.6428681801
118	0.6424468106
119	0.642064735
120	0.6413560012
121	0.6408100184
122	0.6403728496
123	0.6398311185
124	0.6391806081
125	0.6387511439
126	0.6383057641
127	0.6381360721
128	0.6373957728
129	0.6370412079
130	0.6366826251
131	0.6362620485
132	0.6356592569
133	0.6348555375
134	0.6345822209
135	0.6340773383
136	0.6336482711
137	0.6330899352
138	0.6327048764
139	0.6321828612
140	0.6315953811
141	0.6312132864
142	0.6306801685
143	0.6303218091
144	0.6300051963
145	0.6293603536
146	0.6287252489
147	0.6283655534
148	0.627956995
149	0.6273923704
150	0.6270175826
151	0.6265356441
152	0.6254068428
153	0.6248294917
154	0.6243598664
155	0.6239931875
156	0.6233666151
157	0.6229959686
158	0.6226513618
159	0.6223224398
160	0.6220619999
161	0.6211795156
162	0.6208301943
163	0.6203232202
164	0.6199468762
165	0.619480839
166	0.6192166038
167	0.6188591299
168	0.6181029851
169	0.6175941103
170	0.6172950862
171	0.6170117011
172	0.6168070077
173	0.6165699275
174	0.6159459901
175	0.615465398
176	0.6149198901
177	0.6146333456
178	0.6139365897
179	0.6136983829
180	0.6133916485
181	0.6128643885
182	0.6120879593
183	0.6112689073
184	0.6108225538
185	0.609953889
186	0.6097630409
187	0.6091165221
188	0.608786758
189	0.6084422583
190	0.6082132039
191	0.6078282817
192	0.6070529995
193	0.6068156893
194	0.6064838417
195	0.6060423823
196	0.6057801682
197	0.6048889557
198	0.6047023146
199	0.6043505349
200	0.6040033158
201	0.6038076665
202	0.6035738256
203	0.6025379322
204	0.6020291111
205	0.6013423755
206	0.60103108
207	0.6009035745
208	0.6004808619
209	0.599937705
210	0.5996503397
211	0.5995115594
212	0.5992207681
213	0.5988585807
214	0.5985777788
