iter	Passed	Remaining
0	182	182582
1	287	143683
2	391	130210
3	502	125131
4	622	123969
5	729	120793
6	836	118621
7	943	116938
8	1047	115378
9	1154	114329
10	1261	113463
11	1366	112523
12	1470	111663
13	1578	111198
14	1684	110625
15	1792	110262
16	1900	109869
17	2005	109417
18	2112	109065
19	2218	108686
20	2323	108321
21	2429	108008
22	2535	107717
23	2642	107443
24	2748	107187
25	2856	107026
26	2964	106831
27	3069	106564
28	3178	106418
29	3284	106188
30	3388	105921
31	3495	105732
32	3601	105548
33	3707	105341
34	3818	105270
35	3921	105013
36	4029	104881
37	4134	104661
38	4238	104438
39	4342	104227
40	4450	104094
41	4554	103890
42	4660	103718
43	4766	103566
44	4872	103400
45	4979	103272
46	5086	103128
47	5195	103038
48	5303	102936
49	5409	102788
50	5527	102855
51	5639	102816
52	5745	102662
53	5851	102515
54	5957	102361
55	6064	102233
56	6171	102103
57	6278	101979
58	6384	101820
59	6488	101655
60	6595	101532
61	6699	101363
62	6804	101208
63	6912	101100
64	7023	101025
65	7148	101164
66	7280	101385
67	7410	101566
68	7537	101699
69	7671	101919
70	7788	101907
71	7907	101912
72	8024	101894
73	8139	101859
74	8258	101855
75	8375	101828
76	8495	101838
77	8611	101787
78	8755	102071
79	8870	102015
80	8991	102010
81	9112	102010
82	9212	101783
83	9317	101600
84	9418	101391
85	9520	101178
86	9621	100965
87	9722	100761
88	9823	100556
89	9945	100558
90	10064	100533
91	10180	100481
92	10298	100441
93	10411	100348
94	10524	100255
95	10630	100101
96	10732	99916
97	10833	99712
98	10947	99631
99	11064	99578
100	11185	99563
101	11299	99480
102	11415	99415
103	11535	99383
104	11653	99330
105	11768	99258
106	11887	99208
107	11997	99088
108	12098	98898
109	12200	98713
110	12300	98517
111	12399	98312
112	12497	98099
113	12596	97902
114	12698	97720
115	12796	97516
116	12897	97335
117	13022	97335
118	13160	97429
119	13285	97425
120	13401	97355
121	13500	97162
122	13601	96979
123	13701	96796
124	13803	96621
125	13902	96435
126	14005	96271
127	14114	96154
128	14238	96140
129	14365	96135
130	14482	96070
131	14588	95932
132	14690	95764
133	14816	95754
134	14935	95697
135	15051	95621
136	15171	95568
137	15292	95520
138	15497	95994
139	15648	96125
140	15817	96362
141	15990	96621
142	16183	96987
143	16350	97192
144	16519	97410
145	16691	97636
146	16838	97706
147	16983	97769
148	17138	97886
149	17266	97843
150	17419	97941
151	17546	97889
152	17668	97814
153	17787	97713
154	17896	97564
155	17998	97373
156	18097	97173
157	18208	97032
158	18310	96851
159	18422	96719
160	18538	96604
161	18648	96465
162	18746	96261
163	18845	96067
164	18945	95876
165	19044	95679
166	19145	95496
167	19246	95315
168	19345	95122
169	19460	95012
170	19588	94964
171	19715	94910
172	19825	94770
173	19930	94610
174	20035	94452
175	20138	94284
176	20240	94114
177	20343	93945
178	20449	93791
179	20576	93737
180	20696	93649
181	20807	93518
182	20906	93335
183	21067	93428
184	21184	93326
185	21305	93239
186	21422	93136
187	21554	93098
188	21677	93017
189	21796	92922
190	21901	92767
191	22003	92600
192	22104	92425
193	22203	92249
194	22319	92139
195	22417	91958
196	22546	91900
197	22645	91725
198	22749	91568
199	22847	91391
200	22950	91232
201	23050	91059
202	23148	90883
203	23250	90722
204	23350	90553
205	23450	90388
206	23552	90229
207	23652	90061
208	23751	89893
209	23849	89721
210	23947	89548
211	24045	89377
212	24148	89226
213	24256	89092
214	24353	88920
215	24467	88808
216	24565	88640
217	24669	88494
218	24808	88472
219	24939	88422
220	25078	88399
221	25229	88416
222	25369	88393
223	25487	88296
224	25609	88209
225	25706	88039
226	25804	87870
227	25931	87801
228	26031	87643
229	26130	87479
230	26231	87325
231	26333	87171
232	26431	87006
233	26541	86883
234	26661	86792
235	26780	86695
236	26897	86594
237	27017	86501
238	27146	86435
239	27257	86316
240	27357	86158
241	27461	86016
242	27563	85866
243	27662	85707
244	27782	85616
245	27936	85627
246	28049	85509
247	28163	85399
248	28276	85285
249	28395	85186
250	28525	85123
251	28641	85014
252	28751	84891
253	28851	84736
254	28952	84587
255	29051	84430
256	29152	84281
257	29250	84124
258	29350	83971
259	29463	83856
260	29566	83714
261	29670	83576
262	29769	83422
263	29866	83265
264	29964	83109
265	30061	82952
266	30159	82796
267	30259	82648
268	30356	82491
269	30454	82339
270	30572	82239
271	30670	82089
272	30769	81937
273	30868	81789
274	30965	81637
275	31065	81489
276	31162	81338
277	31261	81188
278	31360	81043
279	31458	80893
280	31559	80751
281	31684	80672
282	31828	80640
283	31983	80635
284	32128	80603
285	32271	80565
286	32421	80546
287	32556	80487
288	32700	80449
289	32839	80400
290	32991	80382
291	33143	80362
292	33302	80357
293	33451	80329
294	33575	80240
295	33676	80094
296	33774	79944
297	33874	79798
298	33973	79651
299	34074	79508
300	34172	79358
301	34279	79229
302	34388	79104
303	34493	78971
304	34599	78842
305	34702	78704
306	34811	78581
307	34911	78437
308	35011	78293
309	35114	78158
310	35218	78024
311	35320	77886
312	35419	77742
313	35536	77637
314	35637	77497
315	35737	77356
316	35838	77216
317	35936	77070
318	36035	76928
319	36134	76785
320	36233	76644
321	36337	76511
322	36435	76367
323	36534	76226
324	36633	76085
325	36730	75940
326	36827	75795
327	36930	75662
328	37028	75520
329	37126	75377
330	37244	75277
331	37398	75247
332	37496	75104
333	37595	74965
334	37695	74828
335	37807	74713
336	37907	74576
337	38006	74438
338	38107	74304
339	38207	74167
340	38308	74033
341	38407	73894
342	38505	73755
343	38614	73636
344	38715	73502
345	38813	73363
346	38914	73231
347	39012	73091
348	39114	72961
349	39216	72830
350	39316	72696
351	39414	72557
352	39513	72422
353	39614	72290
354	39720	72169
355	39825	72043
356	39922	71905
357	40021	71770
358	40122	71638
359	40220	71502
360	40325	71378
361	40422	71241
362	40541	71142
363	40642	71012
364	40740	70876
365	40843	70750
366	40942	70617
367	41040	70483
368	41150	70367
369	41261	70255
370	41390	70174
371	41510	70076
372	41609	69944
373	41707	69809
374	41803	69672
375	41906	69547
376	42004	69412
377	42101	69278
378	42202	69149
379	42300	69016
380	42403	68892
381	42502	68760
382	42601	68629
383	42701	68500
384	42800	68370
385	42903	68245
386	43001	68113
387	43100	67982
388	43197	67849
389	43295	67717
390	43404	67604
391	43533	67520
392	43671	67452
393	43829	67413
394	43991	67379
395	44136	67319
396	44283	67262
397	44436	67212
398	44581	67151
399	44735	67103
400	44875	67033
401	44990	66926
402	45092	66799
403	45193	66672
404	45298	66549
405	45399	66421
406	45509	66306
407	45615	66187
408	45716	66059
409	45813	65927
410	45913	65798
411	46014	65671
412	46158	65605
413	46297	65532
414	46396	65402
415	46494	65271
416	46596	65145
417	46696	65017
418	46837	64947
419	46962	64852
420	47061	64723
421	47162	64596
422	47260	64466
423	47359	64338
424	47459	64210
425	47561	64085
426	47662	63959
427	47762	63831
428	47861	63703
429	47959	63574
430	48059	63447
431	48160	63322
432	48260	63195
433	48359	63067
434	48459	62941
435	48556	62812
436	48657	62686
437	48757	62561
438	48855	62432
439	48955	62307
440	49053	62178
441	49152	62052
442	49252	61926
443	49350	61799
444	49448	61672
445	49547	61546
446	49647	61420
447	49746	61294
448	49846	61169
449	49963	61066
450	50111	61000
451	50269	60946
452	50373	60826
453	50484	60715
454	50591	60598
455	50689	60471
456	50788	60346
457	50888	60221
458	50984	60092
459	51120	60010
460	51257	59930
461	51384	59836
462	51484	59712
463	51584	59589
464	51681	59461
465	51780	59336
466	51880	59213
467	51980	59089
468	52079	58963
469	52176	58837
470	52275	58712
471	52375	58589
472	52476	58466
473	52574	58342
474	52672	58216
475	52771	58092
476	52871	57969
477	52970	57846
478	53069	57722
479	53199	57632
480	53350	57565
481	53487	57482
482	53595	57368
483	53694	57244
484	53795	57122
485	53893	56998
486	53992	56875
487	54091	56752
488	54189	56627
489	54286	56502
490	54384	56378
491	54483	56255
492	54584	56134
493	54683	56011
494	54781	55888
495	54878	55763
496	54976	55640
497	55076	55519
498	55175	55396
499	55274	55274
500	55372	55151
501	55483	55041
502	55587	54924
503	55686	54802
504	55783	54678
505	55882	54557
506	55979	54433
507	56077	54310
508	56178	54192
509	56277	54070
510	56376	53949
511	56475	53828
512	56575	53708
513	56674	53587
514	56772	53465
515	56871	53344
516	56968	53222
517	57069	53103
518	57172	52986
519	57272	52867
520	57371	52746
521	57470	52626
522	57568	52505
523	57669	52386
524	57769	52267
525	57868	52148
526	57967	52027
527	58065	51907
528	58164	51786
529	58264	51668
530	58364	51549
531	58462	51429
532	58560	51309
533	58658	51189
534	58758	51070
535	58856	50950
536	58955	50831
537	59052	50710
538	59153	50592
539	59250	50472
540	59351	50355
541	59451	50237
542	59553	50121
543	59650	50001
544	59748	49881
545	59846	49762
546	59946	49645
547	60045	49526
548	60145	49408
549	60243	49290
550	60343	49172
551	60450	49060
552	60555	48948
553	60652	48828
554	60752	48711
555	60853	48595
556	60952	48477
557	61050	48359
558	61151	48243
559	61250	48125
560	61356	48013
561	61456	47896
562	61556	47779
563	61655	47662
564	61754	47545
565	61852	47427
566	61953	47312
567	62053	47195
568	62151	47077
569	62250	46960
570	62350	46845
571	62452	46730
572	62552	46614
573	62652	46498
574	62752	46382
575	62852	46266
576	62951	46150
577	63052	46034
578	63151	45918
579	63249	45801
580	63346	45683
581	63445	45567
582	63545	45451
583	63644	45335
584	63745	45221
585	63845	45105
586	63946	44991
587	64046	44876
588	64146	44760
589	64245	44644
590	64347	44531
591	64446	44416
592	64545	44300
593	64645	44185
594	64743	44069
595	64853	43961
596	64953	43846
597	65056	43733
598	65185	43638
599	65315	43543
600	65420	43432
601	65531	43325
602	65630	43209
603	65727	43092
604	65824	42976
605	65923	42861
606	66021	42745
607	66121	42630
608	66227	42520
609	66333	42409
610	66437	42298
611	66535	42182
612	66632	42066
613	66735	41954
614	66834	41839
615	66934	41725
616	67032	41609
617	67130	41495
618	67244	41389
619	67355	41282
620	67454	41167
621	67553	41053
622	67700	40968
623	67840	40878
624	67938	40762
625	68035	40647
626	68134	40533
627	68233	40418
628	68334	40305
629	68432	40190
630	68532	40077
631	68640	39967
632	68767	39869
633	68881	39764
634	68994	39658
635	69093	39544
636	69196	39432
637	69307	39324
638	69410	39213
639	69516	39103
640	69617	38990
641	69720	38878
642	69818	38764
643	69945	38665
