Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Selling_Price,Is_Holiday,Year,Month,Week,Day,Dayofweek,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start
791,862,8,11,138,4.3,291.0,0,2017,2,5,3,4,False,False,False,False
760,670,11,128,330,3.1,897.0,0,2015,7,27,1,2,False,True,False,True
1746,280,30,113,102,3.5,792.0,1,2019,1,2,12,5,False,False,False,False
1214,670,9,38,135,4.0,837.0,0,2014,12,50,12,4,False,False,False,False
2104,670,11,81,297,4.3,470.0,0,2013,12,50,12,3,False,False,False,False
1477,182,30,117,269,5.0,746.0,0,2020,9,36,4,4,False,False,False,False
2090,670,25,129,61,4.1,1798.0,0,2017,4,15,12,2,False,False,False,False
149,602,38,29,233,3.1,955.0,1,2013,1,2,12,5,False,False,False,False
1124,15,30,125,218,2.4,21770.0,0,2019,3,12,18,0,False,False,False,False
1029,951,5,3,58,2.3,199.0,0,2018,10,40,5,4,False,False,False,False
1363,132,14,25,240,4.3,2470.0,1,2019,1,2,12,5,False,False,False,False
613,552,11,128,330,5.0,497.0,0,2012,12,52,30,6,False,False,False,False
1802,301,44,123,316,1.5,489.0,0,2017,10,40,5,3,False,False,False,False
2160,421,24,54,241,3.6,939.0,0,2015,6,23,6,5,False,False,False,False
2440,530,30,113,267,4.6,416.0,1,2018,1,2,12,4,False,False,False,False
1510,190,35,107,316,2.8,30918.0,0,2013,1,1,1,1,False,True,False,True
105,581,62,123,316,3.2,798.0,0,2019,5,18,4,5,False,False,False,False
826,888,30,20,150,1.5,290.0,0,2014,6,24,15,6,False,False,False,False
160,612,14,70,317,1.0,641.0,0,2018,12,52,29,5,False,False,False,False
2130,670,38,22,238,3.8,298.0,1,2017,1,2,12,3,False,False,False,False
302,684,38,22,319,1.5,292.0,0,2015,3,12,19,3,False,False,False,False
1686,255,11,63,132,1.7,1993.0,0,2017,2,5,4,5,False,False,False,False
1471,178,35,87,210,3.0,300.0,1,2017,1,2,12,3,False,False,False,False
837,895,32,68,301,4.0,299.0,0,2014,1,1,1,2,False,True,False,True
1262,50,11,128,330,2.3,610.0,0,2017,10,40,5,3,False,False,False,False
1827,670,11,128,330,3.7,904.0,0,2012,1,2,12,3,False,False,False,False
1071,1002,32,68,301,1.2,393.0,0,2020,1,1,1,2,False,True,False,True
2100,409,11,128,330,1.6,396.0,0,2014,3,12,19,2,False,False,False,False
15,670,11,128,330,3.7,596.0,0,2019,7,27,1,0,False,True,False,True
337,702,35,87,210,1.4,253.0,1,2013,1,2,12,5,False,False,False,False
123,670,11,81,331,1.2,664.0,0,2012,12,52,29,5,False,False,False,False
1887,670,11,81,297,2.0,341.0,0,2019,12,50,13,4,False,False,False,False
1971,458,11,128,330,2.1,496.0,0,2013,12,1,30,0,False,False,False,False
1198,403,11,128,181,2.5,441.0,0,2015,7,27,1,2,False,True,False,True
327,697,5,3,57,3.9,405.0,1,2014,1,2,12,6,False,False,False,False
1641,230,14,88,257,3.4,946.0,1,2016,1,2,12,1,False,False,False,False
